M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:26)
STATS:: before CompileProperty : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:26)
STATS:: after  CompileProperty : M=1506.45mb, Malloc-M=464mb, T=3s W=(2023-10-26 13:34:29)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   before VsiLib_Restore : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   after  VsiLib_Restore : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   before BanffAddSvaProperty: createModel : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   |   before PropertyLoad: Formal Property : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1506.45mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:29)
STATS:: before Check: check_fv : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   before Check: BuildFormal : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   before Check: ResetSetup : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   after  Check: ResetSetup : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   before Check: BotEotInstr : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   after  Check: BotEotInstr : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   before Check: VPReset : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
STATS:: |   |   after  Check: VPReset : M=1506.44mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:34:36)
