M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   |   before PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:25)
STATS:: before Check: check_fv : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   before Check: BuildFormal : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   before Check: ResetSetup : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   before Check: EnvInstrumentation : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   after  Check: EnvInstrumentation : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   after  Check: ResetSetup : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   before Check: BotEotInstr : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   after  Check: BotEotInstr : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   before Check: VPReset : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   after  Check: VPReset : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   before Check: FormalModel : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   before DfgBuild: Setup : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   after  DfgBuild: Setup : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   before DfgBuild: Flatten : M=1507.16mb, Malloc-M=465mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   before DfgBuild: Modeling : M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   |   before NldfgBuild : Print statistics M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   |   after  NldfgBuild : Print statistics M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   |   before NldfgBuild : Cutpoint Insertion M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   |   after  NldfgBuild : Cutpoint Insertion M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:28)
STATS:: |   |   |   |   before NldfgBuild : Compute net equivalences M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   after  NldfgBuild : Compute net equivalences M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   before NldfgBuild : Eliminate bidirectionals M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   before NldfgBuild : Remove false combo loops M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   after  NldfgBuild : Remove false combo loops M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   before NldfgBuild : Create dfg M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph M=1515.18mb, Malloc-M=474mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph M=1515.18mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1515.18mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1515.18mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   before NldfgBuild : Compute dependencies M=1515.18mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute dependencies M=1515.18mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1515.18mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1515.18mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   before NldfgBuild : Compute templates M=1515.18mb, Malloc-M=475mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute templates M=1515.18mb, Malloc-M=476mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1515.18mb, Malloc-M=476mb, T=0s W=(2023-10-26 13:38:29)
STATS:: |   |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1515.18mb, Malloc-M=476mb, T=0s W=(2023-10-26 13:38:29)
